spec_key,mcmaster_pn,description,pack_qty
screw|shcs|iso4762|M6-1|L20,91290A215,M6 x 1mm 18-8 SS SHCS 20mm,100
nut|hexnut|iso4032|M6-1,90591A250,M6 x 1mm 18-8 SS Hex Nut,100
